NodeID: 0
 nr   logfactor           convergence         logI                        I.eq                pH                          chargebalance       Cl-.logact                  Cl-.tot             Na+.logact                  Na+.tot             SO3-2.logact                SO3-2.tot          
                                                                          0.0                                             0.0                                             9.99999978e-3                                   5.00000000e-1                                   9.99999968e-21     
 300  -4.82936            14.6425             1.51468554               X -9.92299490e-1      -8.50000000               X  8.49563857e3       -30.7159196               X  5.16745116e-36     -5.21329725e-2            X  2.38266538e-5      -24.6885293               X  43.9055323         
 300  -4.9292             14.842              1.51469722               X -9.93881219e-1      -8.60000000               X  1.06920822e4       -30.7159195               X  5.16586152e-36     -5.21270874e-2            X  2.38196405e-5      -24.6890461               X  69.5028232         
 300  -1.842              14.042              1.52899709               X -9.92630291e-1      -8.70000000               X  9.17438060e3       -30.7157756               X  3.52209530e-36     -4.49334778e-2            X  1.65060545e-5      -25.6890461               X  11.0154551         
 300  -4.96258            14.2419             1.52900791               X -9.94144160e-1      -8.80000000               X  1.15464554e4       -30.7157755               X  3.52105768e-36     -4.49280280e-2            X  1.65013947e-5      -25.6891662               X  17.4534939         
 300  -1.24188            13.4419             1.58596752               X -9.72114209e-1      -8.90000000               X  2.76448697e3       -30.7152026               X  6.70520340e-37     -1.62814142e-2            X  3.35222478e-6      -26.6891662               X  2.76619237         
 300  -4.44161            13.6418             1.58600268               X -9.77823490e-1      -9.00000000               X  3.47647786e3       -30.7152022               X  6.69787810e-37     -1.62633278e-2            X  3.34869921e-6      -26.6892662               X  4.38310946         
 300  -4.54114            13.8417             1.58603081               X -9.82368009e-1      -9.10000000               X  4.37279823e3       -30.7152019               X  6.69202413e-37     -1.62489455e-2            X  3.34588102e-6      -26.6893923               X  6.94474394         
 300  -4.64076            14.0415             1.58605327               X -9.85983894e-1      -9.20000000               X  5.50118038e3       -30.7152017               X  6.68735184e-37     -1.62375113e-2            X  3.34363124e-6      -26.6895511               X  11.0026531         
 300  -4.74046            14.2413             1.58607120               X -9.88859941e-1      -9.30000000               X  6.92171472e3       -30.7152015               X  6.68362640e-37     -1.62284224e-2            X  3.34183708e-6      -26.6897511               X  17.4300011         
 300  -4.84021            14.441              1.58608548               X -9.91146911e-1      -9.40000000               X  8.71004988e3       -30.7152014               X  6.68065826e-37     -1.62211988e-2            X  3.34040745e-6      -26.6900030               X  27.6086772         
 300  -4.94002            14.6407             1.58609686               X -9.92965067e-1      -9.50000000               X  1.09614212e4       -30.7152013               X  6.67829495e-37     -1.62154583e-2            X  3.33926902e-6      -26.6903199               X  43.7248798         
 300  -1.64073            13.8407             1.60880625               X -9.87835870e-1      -9.60000000               X  6.67967303e3       -30.7149726               X  3.23431740e-37     -4.78039750e-3            X  1.65949064e-6      -27.6903199               X  6.92992643         
 300  -4.82476            14.0406             1.60882103               X -9.90332671e-1      -9.70000000               X  8.40513217e3       -30.7149724               X  3.23275006e-37     -4.77291213e-3            X  1.65871448e-6      -27.6904237               X  10.9805698         
 300  -4.92454            14.2405             1.60883282               X -9.92317791e-1      -9.80000000               X  1.05773459e4       -30.7149723               X  3.23150183e-37     -4.76696340e-3            X  1.65809627e-6      -27.6905543               X  17.3977961         
 300  -1.24049            13.4405             1.66586980               X -9.48577364e-1      -9.90000000               X  1.80196130e3       -30.7143975               X  4.37872779e-38      2.39722136e-2            X  2.39727400e-7      -28.6905543               X  2.75736486         
 300  -4.25575            13.6403             1.66592244               X -9.59068012e-1      -10.0000000               X  2.26406870e3       -30.7143970               X  4.37011275e-38      2.39999612e-2            X  2.39270723e-7      -28.6907073               X  4.36858929         
 300  -4.35489            13.8401             1.66596480               X -9.67431783e-1      -10.1000000               X  2.84577668e3       -30.7143965               X  4.36319175e-38      2.40220453e-2            X  2.38903692e-7      -28.6909003               X  6.92067195         
 300  -4.4542             14.0399             1.66599880               X -9.74095167e-1      -10.2000000               X  3.57806314e3       -30.7143962               X  4.35764487e-38      2.40396152e-2            X  2.38609436e-7      -28.6911435               X  10.9623856         
 300  -4.55365            14.2396             1.66602602               X -9.79400781e-1      -10.3000000               X  4.49992487e3       -30.7143959               X  4.35320758e-38      2.40535892e-2            X  2.38373982e-7      -28.6914499               X  17.3619577         
 300  -4.65321            14.4392             1.66604779               X -9.83623296e-1      -10.4000000               X  5.66045430e3       -30.7143957               X  4.34966314e-38      2.40647005e-2            X  2.38185867e-7      -28.6918357               X  27.4924135         
 300  -4.75285            14.6387             1.66606516               X -9.86982533e-1      -10.5000000               X  7.12145380e3       -30.7143955               X  4.34683518e-38      2.40735337e-2            X  2.38035754e-7      -28.6923214               X  43.5238369         
 300  -4.85257            14.8381             1.66607902               X -9.89654160e-1      -10.6000000               X  8.96072688e3       -30.7143953               X  4.34458095e-38      2.40805547e-2            X  2.37916080e-7      -28.6929325               X  68.8836275         
 300  -4.95234            15.0373             1.66609007               X -9.91778398e-1      -10.7000000               X  1.12762215e4       -30.7143952               X  4.34278535e-38      2.40861346e-2            X  2.37820744e-7      -28.6937013               X  1.08980120e2       
 300  -2.03735            14.2373             1.67519061               X -9.90588618e-1      -10.8000000               X  1.00592874e4       -30.7143035               X  3.07796545e-38      2.86741252e-2            X  1.70310468e-7      -29.6937013               X  17.2721850         
 300  -1.23735            13.4373             1.73254228               X -9.10906358e-1      -10.9000000               X  1.21262233e3       -30.7137245               X  2.95121636e-39      5.76223926e-2            X  1.74320295e-8      -30.6937013               X  2.73745684         
 300  -4.08373            13.6371             1.73261740               X -9.28985519e-1      -11.0000000               X  1.52159991e3       -30.7137237               X  2.94155376e-39      5.76636255e-2            X  1.73765718e-8      -30.6939270               X  4.33632210         
 300  -4.1823             13.8368             1.73267845               X -9.43432576e-1      -11.1000000               X  1.91047802e3       -30.7137230               X  2.93372240e-39      5.76964857e-2            X  1.73315950e-8      -30.6942120               X  6.86809905         
 300  -4.28114            14.0365             1.73272783               X -9.54964719e-1      -11.2000000               X  2.39996521e3       -30.7137225               X  2.92740252e-39      5.77226571e-2            X  1.72952802e-8      -30.6945715               X  10.8761967         
 300  -4.3802             14.236              1.73276762               X -9.64161664e-1      -11.3000000               X  3.01612807e3       -30.7137221               X  2.92231946e-39      5.77434908e-2            X  1.72660609e-8      -30.6950247               X  17.2196322         
